"URls","Size","# of Outlinks","Content-Type"
"https://www.washingtonpost.com/news/posteverything/wp/2017/09/29/president-trump-has-the-best-words-but-what-if-he-had-more-of-them/","157987","37","text/html;charset=UTF-8"
"https://www.washingtonpost.com/opinions/the-security-threat-were-ignoring-terrorist-drones/2017/09/29/3fbd1374-a51f-11e7-b14f-f41773cd5a14_story.html","158952","37","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/worldviews/wp/2017/09/30/all-the-theories-about-whats-happening-to-the-diplomats-in-cuba/","158516","32","text/html;charset=UTF-8"
"https://www.washingtonpost.com/privacy-policy/2011/11/18/gIQASIiaiN_story.html","108979","28","text/html;charset=UTF-8"
"https://www.washingtonpost.com/rw/WashingtonPost/Content/Epaper/2017-09-30/Ax1_module2.jpg","19833","0","image/jpeg"
"https://www.washingtonpost.com/news/the-switch/wp/2017/09/28/ikea-has-purchased-taskrabbit-to-help-you-bypass-those-assembly-instructions/","152460","27","text/html;charset=UTF-8"
"https://www.washingtonpost.com/people/matt-bonesteel/","72709","59","text/html;charset=UTF-8"
"https://www.washingtonpost.com/powerpost/republicans-are-keeping-roy-moore-and-his-controversial-views-at-arms-length/2017/09/29/7dc3a032-a472-11e7-b14f-f41773cd5a14_story.html","163284","34","text/html;charset=UTF-8"
"https://www.washingtonpost.com/graphics/2017/national/fair-representation/","178509","207","text/html"
"https://www.washingtonpost.com/sports/colleges/maryland-football-knocks-off-minnesota-with-third-string-qb-for-its-third-win/2017/09/30/442ea6bc-a609-11e7-b14f-f41773cd5a14_story.html","161858","30","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/to-your-health/wp/2017/09/30/mother-who-refuses-to-follow-court-order-to-vaccinate-son-most-likely-ill-be-going-to-jail/?utm_term=.af605c184abc","160163","44","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/true-crime/wp/2017/09/29/i-dont-have-an-ounce-of-guilt-says-teen-accused-of-trying-to-kill-infant-with-poisoned-milk/","156894","31","text/html;charset=UTF-8"
"https://www.washingtonpost.com/people/paul-kane/","73820","59","text/html;charset=UTF-8"
"https://www.washingtonpost.com/outlook/im-dying-of-brain-cancer-i-prepared-to-end-my-life-then-i-kept-living/2017/09/29/ef88f0fc-8ce7-11e7-84c0-02cc069f2c37_story.html","161335","36","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/to-your-health/wp/2017/09/30/a-model-decided-to-tattoo-her-eyeball-shes-now-partially-blind-and-in-excruciating-pain/?utm_term=.80f0966c5a1f","160913","43","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/true-crime/wp/2017/09/29/a-mother-went-on-an-11-day-european-vacation-and-left-her-young-children-alone-at-home/","155872","34","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/to-your-health/wp/2017/09/30/a-model-decided-to-tattoo-her-eyeball-shes-now-partially-blind-and-in-excruciating-pain/","160913","42","text/html;charset=UTF-8"
"https://www.washingtonpost.com/local/obituaries/anne-jeffreys-vivacious-ghostess-with-the-mostest-on-tvs-topper-dies-at-94/2017/09/28/ccd9bcf8-a46b-11e7-ade1-76d061d56efa_story.html","236925","45","text/html;charset=UTF-8"
"https://www.washingtonpost.com/local/obituaries/","233511","321","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/the-fix/wp/2017/09/30/trump-doesnt-get-it-on-puerto-rico-he-just-proved-it-by-lashing-out-at-san-juans-mayor/?tid=pm_pop","198491","41","text/html;charset=UTF-8"
"https://www.washingtonpost.com/local/obituaries/richard-pyle-ap-correspondent-who-covered-vietnam-disasters-dies-at-83/2017/09/29/ee31e02e-a524-11e7-ade1-76d061d56efa_story.html","231625","32","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/early-lead/wp/2017/09/30/vile-disgusting-racist-cavs-owner-describes-voice-mails-after-lebron-jamess-trump-tweet/?utm_term=.58e3783d6859","162498","40","text/html;charset=UTF-8"
"https://www.washingtonpost.com/lifestyle/see-some-of-the-entries-in-national-geographics-2017-nature-photographer-of-the-year-contest/2017/09/21/909fdda8-9ee9-11e7-8ea1-ed975285475e_gallery.html","88763","31","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/the-switch/wp/2017/09/29/report-thousands-of-macs-and-pcs-may-be-vulnerable-to-a-sophisticated-kind-of-computer-attack/","156946","30","text/html;charset=UTF-8"
"https://www.washingtonpost.com/people/emily-rauhala/","73751","61","text/html;charset=UTF-8"
"https://www.washingtonpost.com/store/","38655","40","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/capital-weather-gang/wp/2017/09/30/d-c-area-forecast-cool-breezes-today-then-even-more-spectacular-on-sunday-and-beyond/","156515","34","text/html;charset=UTF-8"
"https://www.washingtonpost.com/local/md-politics/new-laws-expand-litigation-options-over-drug-prices-childhood-sexual-abuse/2017/09/28/f975508c-a462-11e7-8cfe-d5b912fabc99_story.html","157460","35","text/html;charset=UTF-8"
"https://www.washingtonpost.com/regional/","312909","236","text/html;charset=UTF-8"
"https://www.washingtonpost.com/sports/colleges/rick-pitinos-latest-transgression-leaves-one-louisville-fan-without-words/2017/09/30/65a7695e-a560-11e7-ade1-76d061d56efa_story.html","168204","35","text/html;charset=UTF-8"
"https://www.washingtonpost.com/people/kathleen-parker/","72707","60","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/true-crime/wp/2017/09/29/a-mother-went-on-an-11-day-european-vacation-and-left-her-young-children-alone-at-home/?utm_term=.3082f6a7231d","155872","35","text/html;charset=UTF-8"
"https://www.washingtonpost.com/people/william-wan/","73465","60","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/capitals-insider/wp/2017/09/30/capitals-offensive-struggles-in-preseason-are-disturbing-says-coach-barry-trotz/","164159","35","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/powerpost/wp/2017/09/26/qa-for-federal-workers-retirement-wave/","153940","27","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/powerpost/wp/2017/09/25/whistleblowers-at-u-s-funded-research-institutions-fear-retaliation/","161854","32","text/html;charset=UTF-8"
"https://www.washingtonpost.com/opinions/trump-and-his-team-do-a-heckuva-job-in-puerto-rico/2017/09/29/84eee576-a53d-11e7-ade1-76d061d56efa_story.html","157454","43","text/html;charset=UTF-8"
"https://www.washingtonpost.com/anonymous-news-tips/","51930","31","text/html;charset=UTF-8"
"https://www.washingtonpost.com/world/tillerson-us-is-in-direct-contact-with-north-korea/2017/09/30/eecb3ed2-a5c3-11e7-8c37-e1d99ad6aa22_story.html","156418","33","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/powerpost/wp/2017/09/26/probe-estimates-billions-of-delayed-mail-pieces-postal-service-acknowledges-some-coverups/","162297","33","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/posteverything/wp/2017/09/29/hugh-hefners-world-wasnt-just-bad-for-women-it-hurt-men-too/","156379","32","text/html;charset=UTF-8"
"https://www.washingtonpost.com/business/economy/forget-passion-this-tutoring-business-grew-out-of-a-mothers-desperation/2017/09/29/13e6a660-a304-11e7-8cfe-d5b912fabc99_story.html","162050","33","text/html;charset=UTF-8"
"https://www.washingtonpost.com/local/public-safety/missing-college-students-family-awaits-identification-of-a-body/2017/09/29/c3afe5c6-a56a-11e7-b14f-f41773cd5a14_story.html","153746","26","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/politics/wp/2017/09/30/trumps-apathy-about-puerto-rico-is-reflected-in-where-hes-spending-his-weekend/","166585","49","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/worldviews/wp/2017/09/30/in-indonesia-the-fake-news-that-fueled-a-cold-war-massacre-is-still-potent-five-decades-later/","159483","38","text/html;charset=UTF-8"
"https://www.washingtonpost.com/people/ruth-marcus/","74422","61","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/food/wp/2017/09/29/jose-andres-a-naturalized-u-s-citizen-has-become-the-face-of-american-disaster-relief/","162172","53","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/post-nation/wp/2017/09/30/trump-called-san-juans-mayor-a-weak-leader-heres-what-her-leadership-looks-like/?utm_term=.f5f62a941c15","142522","73","text/html;charset=UTF-8"
"https://www.washingtonpost.com/people/amy-b-wang/","73183","60","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/comic-riffs/wp/2017/09/29/figment-a-bright-adventure-through-the-human-mind/","157265","32","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/soloish/","137398","74","text/html;charset=UTF-8"
"https://www.washingtonpost.com/local/obituaries/zuzana-ruzickova-holocaust-survivor-who-rediscovered-lifes-beauty-in-bach-dies-at-90/2017/09/28/91147490-a459-11e7-ade1-76d061d56efa_story.html","236145","41","text/html;charset=UTF-8"
"https://www.washingtonpost.com/powerpost/with-or-without-trump-gop-insurgency-plans-for-a-civil-war-in-2018-midterms/2017/09/29/11fecb6c-a47a-11e7-ade1-76d061d56efa_story.html","169274","28","text/html;charset=UTF-8"
"https://www.washingtonpost.com/pb/resources/img/washingtonpost_black_32.png","2149","0","image/png;charset=UTF-8"
"https://www.washingtonpost.com/people/robert-costa/","73369","61","text/html;charset=UTF-8"
"https://www.washingtonpost.com/politics/lost-weekend-how-trumps-time-at-his-golf-club-hurt-the-response-to-maria/2017/09/29/ce92ed0a-a522-11e7-8c37-e1d99ad6aa22_story.html?tid=pm_pop","203520","40","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/arts-and-entertainment/wp/2017/09/29/its-like-gumby-joined-a-utopian-cult-and-created-the-seasons-most-magical-fashion/","171324","49","text/html;charset=UTF-8"
"https://www.washingtonpost.com/entertainment/tv/","189996","109","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/checkpoint/wp/2017/09/29/meet-the-air-force-general-who-delivered-a-powerful-lesson-in-leadership/","159287","48","text/html;charset=UTF-8"
"https://www.washingtonpost.com/video/national/super-awesome-sylvia-was-a-role-model-to-girls-in-science-but-then-sylvia-became-someone-else/2017/09/29/32105934-a47f-11e7-b573-8ec86cdfe1ed_video.html","289141","37","text/html;charset=UTF-8"
"https://www.washingtonpost.com/people/aaron-blake/","71623","60","text/html;charset=UTF-8"
"https://www.washingtonpost.com/lifestyle/what-the-obamas-have-been-doing-since-they-left-the-white-house/2017/02/08/392c7116-eda6-11e6-9973-c5efb7ccfb0d_gallery.html","100339","31","text/html;charset=UTF-8"
"https://www.washingtonpost.com/business/economy/report-shows-gop-tax-plan-would-help-the-rich-as-party-struggles-for-unity/2017/09/29/4d1113b8-a547-11e7-b14f-f41773cd5a14_story.html","161728","29","text/html;charset=UTF-8"
"https://www.washingtonpost.com/opinions/so-about-that-sexual-revolution-in-the-republican-party/2017/09/29/21756116-a54f-11e7-b14f-f41773cd5a14_story.html","159880","42","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/post-politics/wp/2017/09/30/on-twitter-trump-attacks-mayor-of-san-juan-for-poor-leadership-amid-deepening-crisis/","160717","38","text/html;charset=UTF-8"
"https://www.washingtonpost.com/entertainment/books/david-bowie-plagiarist-visionary-or-saint/2017/09/29/7546795a-a492-11e7-b14f-f41773cd5a14_story.html","156993","28","text/html;charset=UTF-8"
"https://www.washingtonpost.com/business/why-the-trump-tax-plan-stinks/2017/09/29/66ddf972-a48f-11e7-b14f-f41773cd5a14_story.html","156679","30","text/html;charset=UTF-8"
"https://www.washingtonpost.com/people/arelis-r-hernandez/","69610","59","text/html;charset=UTF-8"
"https://www.washingtonpost.com/opinions/the-posts-view/","167489","72","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/the-switch/wp/2017/09/27/mark-zuckerberg-responds-to-trumps-accusation-that-facebook-has-always-been-anti-trump/","155855","31","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/early-lead/wp/2017/09/30/vile-disgusting-racist-cavs-owner-describes-voice-mails-after-lebron-jamess-trump-tweet/","162498","39","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/the-switch/wp/2017/09/28/online-thieves-may-be-exploiting-the-equifax-panic-researchers-say/","155544","30","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/speaking-of-science/wp/2018/08/20/super-awesome-sylvia-vs-his-robots-and-your-assumptions/","172344","39","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/posteverything/wp/2017/09/29/oh-snap-its-been-40-years-since-the-food-stamps-act/","158554","39","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/business/wp/2017/09/29/aig-is-no-longer-too-big-to-fail-regulators-say/","153875","30","text/html;charset=UTF-8"
"https://www.washingtonpost.com/entertainment/theater_dance/a-day-in-the-life-backstage-with-shalwitz-and-kahn/2017/09/29/e3db1496-a232-11e7-b14f-f41773cd5a14_story.html","168189","39","text/html;charset=UTF-8"
"https://www.washingtonpost.com/lifestyle/on-parenting/giving-your-child-internet-connected-smart-toys-could-be-dumb/2017/09/29/a168218a-a241-11e7-8cfe-d5b912fabc99_story.html","162081","46","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/tripping/wp/2017/09/30/new-york-sees-big-jump-in-electric-vehicle-sales-after-rebate-goes-into-effect/","153863","28","text/html;charset=UTF-8"
"https://www.washingtonpost.com/local/public-safety/woman-sexually-assaulted-on-fairfax-county-trail-police-say/2017/09/29/feb2902a-a541-11e7-9335-16c8faedd676_story.html","150418","25","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/the-fix/wp/2017/09/30/trump-doesnt-get-it-on-puerto-rico-he-just-proved-it-by-lashing-out-at-san-juans-mayor/","198491","40","text/html;charset=UTF-8"
"https://www.washingtonpost.com/national/in-louisiana-high-school-players-link-arms-but-do-not-kneel-during-anthem/2017/09/29/9f893f40-a564-11e7-ade1-76d061d56efa_story.html","156267","25","text/html;charset=UTF-8"
"https://www.washingtonpost.com/powerpost/becoming-a-party-leader-is-now-a-foolproof-way-to-get-america-to-despise-you/2017/09/30/69364cfc-a560-11e7-b14f-f41773cd5a14_story.html","162264","33","text/html;charset=UTF-8"
"https://www.washingtonpost.com/opinions/","265320","190","text/html;charset=UTF-8"
"https://www.washingtonpost.com/amphtml/local/public-safety/georgetown-bank-teller-stole-185000-from-homeless-customer-with-garbage-bag-of-cash/2017/09/28/bb89a59c-a48b-11e7-8cfe-d5b912fabc99_story.html","44095","38","text/html; charset=utf-8"
"https://www.washingtonpost.com/people/spencer-s-hsu/","73947","59","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/the-fix/wp/2017/09/24/trumps-culture-war-with-the-nfl-is-getting-very-real/","160245","38","text/html;charset=UTF-8"
"https://www.washingtonpost.com/amphtml/news/the-fix/wp/2017/09/30/nfl-anthem-protests-are-more-popular-than-trumps-crusade-heres-why-he-doesnt-care/","45144","46","text/html; charset=utf-8"
"https://www.washingtonpost.com/news/the-fix/wp/2017/03/27/why-president-trump-has-been-very-good-for-liberals/","165196","46","text/html;charset=UTF-8"
"https://www.washingtonpost.com/powerpost/republican-senator-from-tennessee-announces-his-retirement/2017/09/26/df106d96-a2f3-11e7-b14f-f41773cd5a14_story.html?utm_term=.7e10a9eaabb4","163867","34","text/html;charset=UTF-8"
"https://www.washingtonpost.com/opinions/bob-corker-obama-is-an-unreliable-ally/2014/08/05/83f99670-1c92-11e4-ae54-0cfe1f974f8a_story.html?utm_term=.f5c31db91bca","160738","51","text/html;charset=UTF-8"
"https://www.washingtonpost.com/politics/things-to-know-about-firebrand-jurist-roy-moore/2017/09/26/0ae1ea24-a328-11e7-b573-8ec86cdfe1ed_story.html?utm_term=.ff7b649f72a6","158563","26","text/html;charset=UTF-8"
"https://www.washingtonpost.com/opinions/george-will-why-bob-corker-is-the-senator-to-watch-in-2015/2015/01/02/bd3e5bbe-911d-11e4-a412-4b735edc7175_story.html?utm_term=.0f8eef696a49","159084","43","text/html;charset=UTF-8"
"https://www.washingtonpost.com/amphtml/opinions/the-gop-needs-more-men-like-this/2017/09/29/4890750c-a55d-11e7-b14f-f41773cd5a14_story.html","45608","48","text/html; charset=utf-8"
"https://www.washingtonpost.com/news/powerpost/wp/2017/09/29/tax-bill-to-be-drafted-by-november-according-to-senate-gop-budget/?utm_term=.e523ab29f0f1","159173","31","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/made-by-history/wp/2017/09/25/it-shouldnt-surprise-anyone-that-susan-collins-opposes-the-gops-latest-obamacare-repeal-effort/?utm_term=.b030d4973fa2","159665","30","text/html;charset=UTF-8"
"https://www.washingtonpost.com/opinions/congress-should-reject-the-bad-iran-deal/2015/08/17/0c983c78-44f3-11e5-8ab4-c73967a143d3_story.html?utm_term=.a3eda4440178","156813","33","text/html;charset=UTF-8"
"https://www.washingtonpost.com/amphtml/news/in-sight/wp/2017/09/29/finding-race-and-compassion-in-the-mississippi-delta/","55489","58","text/html; charset=utf-8"
"https://www.washingtonpost.com/terms-of-service/2011/11/18/gIQAldiYiN_story.html","107267","25","text/html;charset=UTF-8"
"https://www.washingtonpost.com/terms-of-sale-for-digital-products/2014/05/06/b7763844-cbf9-11e3-93eb-6c0037dde2ad_story.html","98802","28","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/ask-the-post/discussion-and-submission-guidelines/","87927","43","text/html;charset=UTF-8"
"https://www.washingtonpost.com/how-can-i-opt-out-of-online-advertising-cookies/2011/11/18/gIQABECbiN_story.html","90579","26","text/html;charset=UTF-8"
"https://www.washingtonpost.com/terms-of-sale-for-print-products/2014/05/08/d60c4bc8-d6c0-11e3-aae8-c2d44bd79778_story.html","99040","28","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/in-sight/wp/2017/09/27/showing-the-human-side-of-seal-hunting/?utm_term=.a9ea14eb1a8c","129739","56","text/html;charset=UTF-8"
"https://www.washingtonpost.com/rss-terms-of-service/2012/01/16/gIQAadFYAQ_story.html","93604","23","text/html;charset=UTF-8"
"https://www.washingtonpost.com/lifestyle/travel/faa-bans-drone-flights-near-major-us-landmarks/2017/09/28/da2898ba-a4b7-11e7-b573-8ec86cdfe1ed_story.html","151049","23","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/arts-and-entertainment/wp/2017/09/29/stephen-colbert-asked-celebrities-to-tweet-their-awkward-childhood-photos-for-charity-behold/?tid=pm_lifestyle_pop","166949","55","text/html;charset=UTF-8"
"https://www.washingtonpost.com/lifestyle/travel/evacuations-from-bali-volcano-swell-to-more-than-57000/2017/09/25/41b420e0-a25a-11e7-b573-8ec86cdfe1ed_story.html","155117","24","text/html;charset=UTF-8"
"https://www.washingtonpost.com/people/christopher-elliott/","72696","59","text/html;charset=UTF-8"
"https://www.washingtonpost.com/lifestyle/travel/correction-travel-ski-vacations-story/2017/09/22/321df36a-9ff1-11e7-b2a7-bc70b6f98089_story.html","152354","23","text/html;charset=UTF-8"
"https://www.washingtonpost.com/lifestyle/travel/travel-deals-kids-fly-to-scandinavia-for-cost-of-taxes-and-40-percent-off-a-gorilla-trip/2017/09/28/4d05f66a-a2de-11e7-b14f-f41773cd5a14_story.html","154831","31","text/html;charset=UTF-8"
"https://www.washingtonpost.com/people/andrea-sachs/","71195","56","text/html;charset=UTF-8"
"https://www.washingtonpost.com/lifestyle/style/carolyn-hax-close-friend-one-day-estranger-the-next/2017/09/28/be079a28-9fe4-11e7-9083-fbfddf6804c2_story.html?tid=pm_lifestyle_pop","156155","29","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/food/wp/2017/09/01/these-are-the-5-recipes-our-readers-loved-most-this-week/?tid=pm_lifestyle_pop","158769","43","text/html;charset=UTF-8"
"https://www.washingtonpost.com/lifestyle/travel/qatar-airways-unveils-the-first-double-beds-in-business-class/2017/09/25/d228bc14-9fb5-11e7-9c8d-cf053ff30921_story.html","156460","34","text/html;charset=UTF-8"
"https://www.washingtonpost.com/lifestyle/travel/a-different-kind-of-coasting-maine-to-canada-via-the-bay-of-fundy-and-st-john-river/2017/09/26/e703cf40-9fc7-11e7-9c8d-cf053ff30921_story.html","159624","27","text/html;charset=UTF-8"
"https://www.washingtonpost.com/lifestyle/style/carolyn-hax-my-boyfriend-got-married-behind-my-back-deal-breaker/2017/09/26/1bb04c4a-9fdd-11e7-9083-fbfddf6804c2_story.html?utm_term=.54ea85df7af7","156450","28","text/html;charset=UTF-8"
"https://www.washingtonpost.com/lifestyle/travel/first-airline-flights-land-in-puerto-rico-since-maria-hit/2017/09/22/e4015956-9fb9-11e7-b2a7-bc70b6f98089_story.html","150714","23","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/food/wp/2017/09/29/jose-andres-a-naturalized-u-s-citizen-has-become-the-face-of-american-disaster-relief/?tid=pm_lifestyle_pop","162172","54","text/html;charset=UTF-8"
"https://www.washingtonpost.com/lifestyle/travel/public-invited-to-vote-on-main-street-preservation-projects/2017/09/25/b7ae7c26-a1df-11e7-b573-8ec86cdfe1ed_story.html","153905","24","text/html;charset=UTF-8"
"https://www.washingtonpost.com/wp-stat/advertising/subscribe.png","2552","0","image/png"
"https://www.washingtonpost.com/lifestyle/travel/in-portugal-uncorking-some-unexpected-culinary-delights/2017/09/28/c1fd3d08-9fd1-11e7-8ea1-ed975285475e_story.html","173627","48","text/html;charset=UTF-8"
"https://www.washingtonpost.com/lifestyle/travel/police-drag-woman-off-southwest-airlines-flight/2017/09/27/e1643cf4-a3a6-11e7-b573-8ec86cdfe1ed_story.html","151283","23","text/html;charset=UTF-8"
